Trip Name,Start Date,End Date,Type,Status,Color/Category,Notes
Ultra Miami,2026-03-27,2026-03-30,Festival,Planned,Festival,Link to one-pager
EDC Las Vegas,2026-05-15,2026-05-19,Festival,Planned,Festival,
St. Thomas Full Moon,2026-06-26,2026-06-30,Island,Planned,Island,
Nashville Weekend,2026-07-17,2026-07-20,City Glam,Planned,City,
Hampton Beach Week,2026-07-25,2026-07-30,Beach,Planned,Beach,
Costa Rica Adventure,2026-09-15,2026-09-22,International,Planned,International,
Salem Halloween,2026-10-29,2026-11-01,Seasonal,Planned,Seasonal,
Tomorrowland Thailand,2026-11-20,2026-11-24,Festival,Planned,Festival,Pending official dates
Vegas Timeshare Week,2026-11-29,2026-12-06,City Glam,Planned,City,
NYC Holiday Weekend,2026-12-11,2026-12-14,City Glam,Planned,City,
